4|Baker|76|The Ark in Space|42000|42000||space|Space station Nerva; orbiting Earth|
4|Baker|79|Revenge of the Cybermen|28000|28000||space|Earth orbit (Beacon Nerva; asteroid Voga)|
4|Baker|80|Terror of the Zygons|25/08/1975|1975||Earth|Scotland|Loch Ness
4|Baker|81|Planet of Evil|37166|37166||Planet Zeta Minor|n/a|
4|Baker|82|Pyramids of Mars|1911|1911||Earth|England|The site of UNIT HQ; years before it was built.  Currently; a priory.
4|Baker|83|The Android Invasion|1980|1980||Planet: Oseidon; also village of Devesham|England|
4|Baker|86|The Masque of Mandragora|1492|1492||Earth|Italy|San Martino
4|Baker|87|The Hand of Fear|1980|1980|y|Earth|England|Planet: Kastria;
4|Baker|91|The Talons of Weng-Chiang|1889|1889||Earth|England|London
4|Baker|92|Horror of Fang Rock|1900|1900||Earth|England|Fang Rock
4|Baker|93|The Invisible Enemy|5000|5000||space|N/A|Asteroid K4067; inside the Doctor's Body; Titan
4|Baker|94|Image of the Fendahl|1977|1977||Earth|England|Fetch Priory
4|Baker|105|City of Death|1979|1979||Earth|France; Italy|Paris; Italy
4|Baker|107|Nightmare of Eden|2116|2116||space|N/A|Spacecraft: Empress; Spacecraft: Hecate
4|Baker|unaired|Shada|1979|1979||Earth|England|Cambridge
6|Colin Baker|136|The Twin Dilemma|2299|2300||space|Asteroid Titan 3|
6|Colin Baker|137|Attack of the Cybermen|1985|2530||earth|England|London
6|Colin Baker|138|Vengeance on Varos|2083|2284||Planet Varos||
6|Colin Baker|139|The Mark of the Rani|1822|1822||earth|England|Killingworth
6|Colin Baker|140|The Two Doctors|1985|1985||space|Chimera Station|
6|Colin Baker|141|Timelash|1885|1885||earth|England|Scotland
6|Colin Baker|142|Revelation of the Daleks|4570|4660||Planet Necros||
6|Colin Baker|143|The Trial of a Timelord|-10000000|2000000||Planet Gallifrey||
5|Davison|116|Castrovalva|-13700000000|1981||????||City of Castrovalva
5|Davison|118|Kinda|2083|2583||Planet Deva Loka||
5|Davison|119|The Visitation|1666|1666||Earth|England|London
5|Davison|120|Black Orchid|1925|1925||Earth|England|Cranleigh Halt
5|Davison|121|Earthshock|2486|2526||Earth||
